x,xs,xse,y,ys,yse,se
[15.],[15.],0.0,[-40.],[-40.],0.0,0.0
[15.],[14.99999952],4.775741189178007e-07,[-39.79],[-39.79066667],0.0006666713541889635,0.0006666715252455182
[8.38],[8.40443071],0.02443070774925893,[-27.66],[-27.70388579],0.04388579387356373,0.05022770535314772
[-5.75],[-5.69728027],0.05271972859388985,[-24.56],[-24.58367499],0.023674989574992367,0.05779165090555386
[-16.39],[-16.34518555],0.04481444944766011,[-34.56],[-34.53825487],0.021745129341738334,0.04981149997124974
[-14.56],[-14.5543997],0.005600299500049033,[-49.12],[-49.07519061],0.044809389194412574,0.04515799723710727
[-2.01],[-2.04272743],0.032727430107630795,[-56.67],[-56.63941466],0.030585339138077927,0.044794504703602876
[11.95],[11.90575174],0.04424825995373283,[-52.05],[-52.05470347],0.004703465034509691,0.044497540294537306
[17.09],[17.06620401],0.02379598552640516,[-38.26],[-38.29575227],0.035752271356486176,0.04294733791890605
[9.38],[9.39314192],0.013141920527271367,[-25.86],[-25.89959616],0.03959615715092468,0.041720087922556444
[-5.25],[-5.21061099],0.03938901454413202,[-24.06],[-24.07419664],0.014196642105694934,0.04186930992785806
[-15.94],[-15.90374506],0.0362549393579048,[-33.84],[-33.81899249],0.02100751153212599,0.04190150556504815
[-14.91],[-14.90386918],0.006130823010984443,[-48.46],[-48.41846882],0.041531176255510616,0.04198125286313291
[-2.65],[-2.67932694],0.029326939021734333,[-56.6],[-56.56945382],0.03054617787771008,0.04234546416466855
[11.45],[11.40733918],0.04266081592164106,[-52.52],[-52.52276243],0.002762429672955591,0.042750160617220714
[17.12],[17.09545805],0.024541950058068807,[-39.01],[-39.0444931],0.03449310216110746,0.04233298252366988
[10.05],[10.06172443],0.011724425028425856,[-26.31],[-26.35030425],0.040304251452738526,0.04197493093994026
[-4.53],[-4.49072527],0.03927473371230761,[-23.86],[-23.87596828],0.01596827633733966,0.04239682249129424
[-15.68],[-15.6424709],0.03752910474772975,[-33.19],[-33.17050206],0.019497937199297155,0.0422918817055213
[-15.24],[-15.23203862],0.007961383049986281,[-47.88],[-47.83866631],0.041333689011537444,0.042093437343261715
